Original Name,Column_Prefix,Column_Suffix,New_Name_Formula,New_Name
"Q11r18 - Smart watch - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item i",rank_product,smartwatch,rank_product_smartwatch,rank_product_smartwatch
"Q11r19 - Fitness band - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order",rank_product,fitness_band,rank_product_fitness_band,rank_product_fitness_band
"Q11rNew2 - Virtual reality headset - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your sele",rank_product,vr_headset,rank_product_vr_headset,rank_product_vr_headset
"Q11rNew3 - Drone - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to rank. The first item",rank_product,drone,rank_product_drone,rank_product_drone
"Q11r22 - Placeholder - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to rank. The first i",rank_product,placeholder,rank_product_placeholder,rank_product_placeholder
"Q15r1 - Smartphone - Of the time you spend watching movies, what percentage of time do you watch on the following devices?",pct_watch_movies,smartphone,pct_watch_movies_smartphone,pct_watch_movies_smartphone
"Q15r2 - Tablet - Of the time you spend watching movies, what percentage of time do you watch on the following devices?",pct_watch_movies,tablet,pct_watch_movies_tablet,pct_watch_movies_tablet
"Q15r3 - Laptop/Desktop - Of the time you spend watching movies, what percentage of time do you watch on the following devices?",pct_watch_movies,computer,pct_watch_movies_computer,pct_watch_movies_computer
"Q15r4 - Television - Of the time you spend watching movies, what percentage of time do you watch on the following devices?",pct_watch_movies,television,pct_watch_movies_television,pct_watch_movies_television
"Q16r1 - Smartphone - Of the time you spend watching sports, what percentage of time do you watch on the following devices?",pct_watch_sports,smartphone,pct_watch_sports_smartphone,pct_watch_sports_smartphone
"Q16r2 - Tablet - Of the time you spend watching sports, what percentage of time do you watch on the following devices?",pct_watch_sports,tablet,pct_watch_sports_tablet,pct_watch_sports_tablet
"Q16r3 - Laptop/Desktop - Of the time you spend watching sports, what percentage of time do you watch on the following devices?",pct_watch_sports,computer,pct_watch_sports_computer,pct_watch_sports_computer
"Q16r4 - Television - Of the time you spend watching sports, what percentage of time do you watch on the following devices?",pct_watch_sports,television,pct_watch_sports_television,pct_watch_sports_television
"Q17r1 - Smartphone - Of the time you spend watching TV shows , what percentage of time do you watch on the following devices?",pct_watch_tv,smartphone,pct_watch_tv_smartphone,pct_watch_tv_smartphone
"Q17r2 - Tablet - Of the time you spend watching TV shows , what percentage of time do you watch on the following devices?",pct_watch_tv,tablet,pct_watch_tv_tablet,pct_watch_tv_tablet
"Q17r3 - Laptop/Desktop - Of the time you spend watching TV shows , what percentage of time do you watch on the following devices?",pct_watch_tv,computer,pct_watch_tv_computer,pct_watch_tv_computer
"Q17r4 - Television - Of the time you spend watching TV shows , what percentage of time do you watch on the following devices?",pct_watch_tv,television,pct_watch_tv_television,pct_watch_tv_television
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Photo/video,app_type,photo,app_type_photo,app_type_photo
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Banking,app_type,banking,app_type_banking,app_type_banking
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Fitness/health,app_type,fitness_band,app_type_fitness_band,app_type_fitness_band
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Food/drink,app_type,food,app_type_food,app_type_food
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Retail/shopping,app_type,retail,app_type_retail,app_type_retail
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Navigation,app_type,navigation,app_type_navigation,app_type_navigation
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Social networks,app_type,social,app_type_social,app_type_social
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Reading books,app_type,reading,app_type_reading,app_type_reading
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Streaming music,app_type,music,app_type_music,app_type_music
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Streaming video,app_type,video,app_type_video,app_type_video
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Reviews/guides,app_type,review,app_type_review,app_type_review
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-News consolidator,app_type,news_consolidator,app_type_news_consolidator,app_type_news_consolidator
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Newspaper/news broadcaster,app_type,newspaper,app_type_newspaper,app_type_newspaper
